Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Food Waste Sector,Units,2016,2017,2018,point,lat,lng
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),196,Cyprus,HHS,KG,,,,94.53407,35.126413,33.429859
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),196,Cyprus,OOHC,KG,,,,25.57097,35.126413,33.429859
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),196,Cyprus,RTL,KG,,,,12.81159,35.126413,33.429859
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),203,Czech Republic,HHS,KG,,,,69.86859,49.817492,15.472962
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),203,Czech Republic,OOHC,KG,,,,25.57039,49.817492,15.472962
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),203,Czech Republic,RTL,KG,,,,12.81129,49.817492,15.472962
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),204,Benin,HHS,KG,,,,99.59171,9.30769,2.315834
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),204,Benin,OOHC,KG,,,,27.64819,9.30769,2.315834
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),204,Benin,RTL,KG,,,,15.64029,9.30769,2.315834
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),208,Denmark,HHS,KG,,,,81.33385,56.26392,9.501785
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),208,Denmark,OOHC,KG,,,,20.64047,56.26392,9.501785
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),208,Denmark,RTL,KG,,,,29.80012,56.26392,9.501785
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),212,Dominica,HHS,KG,,,,72.42409,15.414999,-61.370976
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),212,Dominica,OOHC,KG,,,,27.64499,15.414999,-61.370976
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),212,Dominica,RTL,KG,,,,15.63849,15.414999,-61.370976
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),214,Dominican Republic,HHS,KG,,,,72.43245,18.735693,-70.162651
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),214,Dominican Republic,OOHC,KG,,,,27.64819,18.735693,-70.162651
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),214,Dominican Republic,RTL,KG,,,,15.64029,18.735693,-70.162651
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),218,Ecuador,HHS,KG,,,,72.43234,-1.831239,-78.183406
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),218,Ecuador,OOHC,KG,,,,27.64814,-1.831239,-78.183406
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),218,Ecuador,RTL,KG,,,,15.64027,-1.831239,-78.183406
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),222,El Salvador,HHS,KG,,,,80.08431,13.794185,-88.89653
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),222,El Salvador,OOHC,KG,,,,27.64829,13.794185,-88.89653
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),222,El Salvador,RTL,KG,,,,15.64035,13.794185,-88.89653
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),226,Equatorial Guinea,HHS,KG,,,,91.94099,1.650801,10.267895
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),226,Equatorial Guinea,OOHC,KG,,,,27.64844,1.650801,10.267895
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),226,Equatorial Guinea,RTL,KG,,,,15.64044,1.650801,10.267895
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),231,Ethiopia,HHS,KG,,,,92.14269,9.145,40.489673
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),231,Ethiopia,OOHC,KG,,,,27.64807,9.145,40.489673
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),231,Ethiopia,RTL,KG,,,,15.64022,9.145,40.489673
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),232,Eritrea,HHS,KG,,,,102.69383,15.179384,39.782334
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),232,Eritrea,OOHC,KG,,,,27.64794,15.179384,39.782334
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),232,Eritrea,RTL,KG,,,,15.64015,15.179384,39.782334
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),233,Estonia,HHS,KG,,,,77.5043,58.595272,25.013607
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),233,Estonia,OOHC,KG,,,,16.60513,58.595272,25.013607
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),233,Estonia,RTL,KG,,,,4.70923,58.595272,25.013607
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),234,Faroe Islands,HHS,KG,,,,76.22148,61.892635,-6.911806
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),234,Faroe Islands,OOHC,KG,,,,25.5825,61.892635,-6.911806
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),234,Faroe Islands,RTL,KG,,,,12.81736,61.892635,-6.911806
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),242,Fiji,HHS,KG,,,,75.71695,-16.578193,179.414413
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),242,Fiji,OOHC,KG,,,,27.64947,-16.578193,179.414413
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),242,Fiji,RTL,KG,,,,15.64102,-16.578193,179.414413
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),246,Finland,HHS,KG,,,,65.42417,61.92411,25.748151
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),246,Finland,OOHC,KG,,,,23.30508,61.92411,25.748151
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),246,Finland,RTL,KG,,,,12.8114,61.92411,25.748151
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),250,France,HHS,KG,,,,84.79013,46.227638,2.213749
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),250,France,OOHC,KG,,,,24.48313,46.227638,2.213749
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),250,France,RTL,KG,,,,25.60379,46.227638,2.213749
12,12.4,12.4.2,EN_HAZ_PCAP,"Hazardous waste generated, per capita (Kg)",254,French Guiana,N/A,KG,,3.20507,5.61258,7.96705,3.933889,-53.125782
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),258,French Polynesia,HHS,KG,,,,78.69456,-17.679742,-149.406843
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),258,French Polynesia,OOHC,KG,,,,25.57179,-17.679742,-149.406843
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),258,French Polynesia,RTL,KG,,,,12.812,-17.679742,-149.406843
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),262,Djibouti,HHS,KG,,,,99.5957,11.825138,42.590275
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),262,Djibouti,OOHC,KG,,,,27.6493,11.825138,42.590275
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),262,Djibouti,RTL,KG,,,,15.64092,11.825138,42.590275
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),266,Gabon,HHS,KG,,,,91.9407,-0.803689,11.609444
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),266,Gabon,OOHC,KG,,,,27.64835,-0.803689,11.609444
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),266,Gabon,RTL,KG,,,,15.64039,-0.803689,11.609444
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),268,Georgia,HHS,KG,,,,100.97496,42.315407,43.356892
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),268,Georgia,OOHC,KG,,,,27.64834,42.315407,43.356892
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),268,Georgia,RTL,KG,,,,15.64038,42.315407,43.356892
